(parameter 0 (root https://www.npmjs.com/package/debug)),taint,(member namespace (return (root https://www.npmjs.com/package/debug))),taint,AllQueries,unknown;0.10.1;3.35.1;2.5.8;3.8.2;0.12.0;0.17.4;5.4.1;1.14.1;1.12.1;1.17.0;4.17.1;0.27.1;2.7.1;1.7.0;0.8.2;0.21.1;5.4.2;1.11.0;8.2.2;1.19.1;5.0.0;19.0.0;1.7.4;1.0.21;8.2.6;1.23.1;3.2.0;5.0.4;20.0.5;unknown;1.6.6;0.18.1;3.19.0;1.1.2;1.1.1;1.124.0;3.19.0;unknown;2.1.6;2.4.4;1.9.1;3.35.1;0.16.2;1.0.0;1.5.0;2.1.0;0.9.2;0.19.1;2.34.0;3.1.1;4.0.2;4.0.0;2.0.2;2.6.9;3.5.1;1.3.0;2.7.2;0.9.2;5.0.0;2.3.10;4.5.1;1.15.1;1.3.1;4.3.7;1.19.0;5.0.4;1.7.0;3.4.2;2.2.0;1.7.6;0.12.0;unknown;0.5.2;0.10.1,519
(parameter 0 (root https://www.npmjs.com/package/util-deprecate)),taint,(return (root https://www.npmjs.com/package/util-deprecate)),taint,AllQueries,0.13.1;1.2.0;2.0.1;2.1.3;2.5.8;0.12.0;3.0.2;3.0.8;4.4.3;0.27.1;3.2.2;2.9.2;1.2.0;2.69.0;2.0.5;4.2.0;4.1.0;4.0.0;3.0.6;2.5.2;13.1.0;1.6.6;2.2.2;2.4.4;2.1.3;2.6.1;4.0.1;1.14.1;5.10.0;4.0.0;2.2.0;2.17.1;2.3.6;2.13.5;5.2.1;5.10.0;4.17.3;5.0.0;2.3.1;0.11.0;3.0.6;1.1.0;0.5.0;1.6.2;3.6.0;4.3.7;0.4.1;1.2.2;1.22.2;1.16.3;0.12.0;0.13.1;13.1.0,317
(parameter 0 (root https://www.npmjs.com/package/depd)),taint,(member _namespace (return (root https://www.npmjs.com/package/depd))),taint,AllQueries,3.35.1;1.14.1;4.17.1;0.8.2;1.1.2;1.10.6;0.21.1;unknown;0.9.0;2.4.1;1.9.1;4.2.1;3.35.1;2.1.0;2.3.0;4.3.7;1.19.0;1.7.0;1.7.6;0.7.0,184
(parameter 0 (root https://www.npmjs.com/package/extend-shallow)),taint,(return (root https://www.npmjs.com/package/extend-shallow)),taint,AllQueries,2.0.1;2.0.2;2.4.4;4.0.2,111
(member originalUrl (parameter 0 (member original (root https://www.npmjs.com/package/parseurl)))),taint,(member pathname (return (member original (root https://www.npmjs.com/package/parseurl)))),taint,AllQueries,1.14.1;1.3.3;4.14.0;1.1.2;1.9.1,108
(member originalUrl (parameter 0 (member original (root https://www.npmjs.com/package/parseurl)))),taint,(member path (return (member original (root https://www.npmjs.com/package/parseurl)))),taint,AllQueries,1.14.1;1.3.3;4.14.0;1.1.2;1.9.1,108
(member originalUrl (parameter 0 (member original (root https://www.npmjs.com/package/parseurl)))),taint,(member _raw (return (member original (root https://www.npmjs.com/package/parseurl)))),taint,AllQueries,1.14.1;1.3.3;4.14.0;1.1.2;1.9.1,108
(member originalUrl (parameter 0 (member original (root https://www.npmjs.com/package/parseurl)))),taint,(member href (return (member original (root https://www.npmjs.com/package/parseurl)))),taint,AllQueries,1.14.1;1.3.3;4.14.0;1.1.2;1.9.1,108
(member * (parameter 0 (root https://www.npmjs.com/package/xtend))),taint,(member * (return (root https://www.npmjs.com/package/xtend))),taint,AllQueries,5.4.1;3.0.8;2.0.5;0.6.6;1.3.9;4.0.0;3.19.0;1.1.1;3.19.0;2.4.4;2.6.1;0.6.2;4.0.2;1.0.5;1.0.1;2.2.0;5.0.0;0.1.8,105
(member readable (member socket (parameter 0 (member isFinished (root https://www.npmjs.com/package/on-finished))))),taint,(return (member isFinished (root https://www.npmjs.com/package/on-finished))),taint,AllQueries,4.15.2;2.3.0;1.1.2,102
(parameter 0 (root https://www.npmjs.com/package/isobject)),taint,(return (root https://www.npmjs.com/package/isobject)),taint,AllQueries,2.0.1;2.0.4;1.0.2;4.0.2;unknown,101
